timestamp,src_ip,dst_ip,dst_port,protocol,bytes_sent,bytes_recv,duration_sec,packets,label
2024-05-26 04:28:31,10.0.2.118,201.250.32.133,21,TCP,15310,45067,42.01,16,normal
2024-05-11 01:38:15,10.0.1.189,193.199.92.89,21,UDP,3692990,68116,55.35,2823,normal
2024-05-17 21:00:41,10.0.3.254,202.222.194.7,443,ICMP,23007,950555,6.64,18,normal
2024-05-09 18:30:38,10.0.1.254,152.183.142.33,25,TCP,467423,56148,3.12,656,normal
2024-05-27 17:50:29,10.0.3.87,64.39.138.32,3306,UDP,15355,18895,16.82,23,normal
2024-05-23 22:23:52,10.0.1.220,205.160.62.11,3389,TCP,45882,85789,62.77,51,normal
2024-05-23 18:49:49,10.0.3.187,10.0.0.141,3389,TCP,1176425,29605,62.94,1683,normal
2024-05-03 02:33:36,10.0.1.148,10.0.1.83,8080,TCP,22450,147130,8.22,21,normal
2024-05-01 00:23:59,10.0.1.83,10.0.0.93,6379,TCP,28401,60844,63.69,44,normal
2024-05-25 23:52:37,10.0.1.180,193.199.92.89,3306,TCP,265058,1540092,23.15,236,normal
2024-05-16 07:14:05,10.0.3.101,10.0.1.114,8443,TCP,16096,173441,16.78,22,normal
2024-05-10 01:08:38,10.0.1.97,10.0.1.189,25,TCP,183873,89429,4.79,138,normal
2024-05-13 16:22:45,10.0.3.174,10.0.3.87,25,TCP,353069,214807,65.41,564,normal
2024-05-23 11:35:13,10.0.3.174,10.0.3.174,6379,TCP,161515,905,52.08,216,normal
2024-05-16 00:14:04,10.0.1.189,23.129.64.214,53,UDP,81072,16294,30.1,84,normal
2024-05-16 05:56:26,10.0.1.54,10.0.3.25,5432,TCP,15896,3116,28.25,24,normal
2024-05-16 14:21:37,10.0.1.180,10.0.0.93,443,TCP,102,16752,73.32,1,normal
2024-05-01 05:15:14,10.0.2.118,180.144.138.156,27017,UDP,165492,16632,13.1,225,normal
2024-05-19 21:43:01,10.0.1.238,138.63.106.248,8443,TCP,45345,18808,1.23,61,normal
2024-05-06 09:10:01,10.0.1.238,183.79.64.37,3306,TCP,13860,5278,1.52,9,normal
2024-05-28 08:28:28,10.0.3.254,180.222.152.147,21,ICMP,4185,265342,8.42,4,normal
2024-05-25 01:57:02,10.0.3.174,45.156.250.25,5601,TCP,101255,7402,4.45,93,normal
2024-05-11 21:20:19,10.0.2.118,45.33.32.156,8080,TCP,72821,35964,23.37,61,normal
2024-05-27 12:34:02,10.0.1.189,63.17.60.62,8443,TCP,14017,110533,18.44,16,normal
2024-05-07 12:20:54,10.0.1.254,10.0.0.136,4444,TCP,4244720,458362,42.2,679,anomaly
2024-05-06 09:18:50,10.0.0.93,78.88.192.199,8443,UDP,727,34589,0.58,1,normal
2024-05-01 21:34:45,10.0.3.254,162.137.98.183,53,TCP,33210,112143,21.25,38,normal
2024-05-18 14:41:55,10.0.1.189,45.33.32.156,27017,TCP,8461,4705,31.44,9,normal
2024-05-16 05:34:16,10.0.3.87,23.131.17.22,80,TCP,16583,17677,11.32,16,normal
2024-05-05 14:13:53,10.0.1.97,10.0.3.101,53,TCP,27,76297,10.12,1,normal
2024-05-18 10:26:00,10.0.1.83,91.240.118.172,3306,TCP,112040,208533,37.92,100,normal
2024-05-12 03:58:21,10.0.2.73,204.92.196.124,22,TCP,19694,161671,6.35,14,normal
2024-05-09 21:40:25,10.0.3.174,91.240.118.172,8080,TCP,12637,64235,79.25,9,normal
2024-05-15 20:47:10,10.0.3.174,45.156.250.25,9200,UDP,2019,107800,3.25,2,normal
2024-05-11 10:44:59,10.0.0.218,109.38.130.67,5601,TCP,115757,50189,30.29,78,normal
2024-05-23 01:06:47,10.0.0.174,45.156.250.25,21,TCP,549306,612,2.25,375,normal
2024-05-04 17:25:21,10.0.0.141,10.0.1.180,5601,TCP,4554,95539,10.16,4,normal
2024-05-08 12:16:56,10.0.3.25,10.0.3.254,443,ICMP,6827,19223,64.28,7,normal
2024-05-28 03:13:35,10.0.1.238,185.220.101.45,80,UDP,2338165056,25039,1207.86,532830,anomaly
2024-05-16 06:24:24,10.0.3.87,95.127.214.181,6379,ICMP,44109,860985,14.36,32,normal
2024-05-26 20:19:05,10.0.0.141,10.0.1.148,27017,UDP,9818,58073,0.81,15,normal
2024-05-16 12:56:31,10.0.1.254,91.107.50.170,5601,UDP,16186,527757,6.65,14,normal
2024-05-19 00:29:56,10.0.1.180,23.129.64.214,3389,UDP,12226,1863,39.55,16,normal
2024-05-17 10:48:00,10.0.3.174,202.222.194.7,8080,TCP,5826,60572,3.86,4,normal
2024-05-11 16:33:45,10.0.3.75,109.38.130.67,22,TCP,2609,1883,2.79,2,normal
2024-05-14 12:25:17,10.0.3.77,23.129.64.214,25,TCP,78151,48704,30.96,91,normal
2024-05-08 08:17:43,10.0.1.114,109.0.127.77,25,UDP,84174,5639,28.82,118,normal
2024-05-06 13:08:32,10.0.1.220,162.247.74.201,8443,TCP,3935,4076,15.23,4,normal
2024-05-24 02:09:59,10.0.0.218,180.144.138.156,27017,TCP,9430,31867,4.41,7,normal
2024-05-27 16:58:09,10.0.3.77,10.0.0.174,53,TCP,50500,244838,25.09,88,normal
2024-05-11 23:42:35,10.0.1.254,189.136.27.236,22,TCP,2622,2248,39.97,2,normal
2024-05-18 15:13:31,10.0.3.174,169.83.214.211,21,TCP,28917,2643695,25.05,20,normal
2024-05-22 20:00:03,10.0.1.206,10.0.3.254,6379,TCP,4744,1688726,13.86,4,normal
2024-05-25 17:24:07,10.0.1.180,10.0.2.73,4444,TCP,1255966,903134,48.4,5045,anomaly
2024-05-30 00:45:44,10.0.1.148,130.152.186.248,3389,TCP,12866,2705161,1.23,8,normal
2024-05-05 21:28:41,10.0.1.238,61.18.96.37,3306,ICMP,667156,1463994,24.55,450,normal
2024-05-18 07:41:31,10.0.0.93,98.140.227.95,443,TCP,3807,505163,84.92,4,normal
2024-05-20 18:22:10,10.0.3.75,23.129.64.214,3306,TCP,93758,38346,31.23,123,normal
2024-05-09 12:44:00,10.0.3.174,10.0.0.218,80,TCP,2580,162154,7.13,1,normal
2024-05-15 08:49:50,10.0.3.75,10.0.1.114,8080,TCP,34431,172087,54.96,57,normal
2024-05-18 03:19:17,10.0.1.148,61.18.96.37,27017,TCP,56610,15168,21.93,46,normal
2024-05-01 08:11:36,10.0.3.75,10.0.3.25,5432,TCP,105,161364,25.83,1,normal
2024-05-12 15:55:42,10.0.3.187,46.26.60.251,53,UDP,21804,43580,89.52,21,normal
2024-05-03 02:27:10,10.0.3.87,169.83.214.211,8080,TCP,3969,316062,12.68,3,normal
2024-05-16 22:43:25,10.0.3.187,10.0.0.141,443,TCP,661007,1025494,20.27,559,normal
2024-05-18 04:23:00,10.0.3.25,10.0.1.97,443,UDP,10546,756898,3.05,20,normal
2024-05-18 12:23:21,10.0.2.194,176.208.33.85,8443,UDP,2153,459206,14.54,3,normal
